use#v#1161188,उपयोग करना, इस्तेमाल करना
make#v#2566500,किया
person#n#7846,कोई
refer#v#2681865,लगाव रखना
flower#n#11689786,फूल
part#n#3898588,भाग
act#n#6544086,नियम
city#n#8542298,शहर
genus#n#5853540,जाति
plant#n#17402,वनस्पति
small#a#1394303,थोड़ा
tree#n#13124818,पेड़
put#v#1496967,रखना
establish#v#2431950,स्थापना करना
region#n#8647614,क्षेत्र
state#n#24900,अवस्था
form#v#2453050,बनाना
herb#n#12226211,जड़ी बूटी
people#n#7958392,लोग
large#a#1385012,बहुत
leaf#n#13173519,पत्ते
shrub#n#13133423,झाड़ी
area#n#8514304,क्षेत्र
member#n#10326901,सदस्य
body#n#7981699,समिति
unit_of_measurement#n#13604927,एकक
cause#v#1649143,कारण
travel#v#1839438,हिलना
body_of_water#n#9248053,जलाशय
talk#v#964479,बोलना
manner#n#4936080,ढंग
form#n#6301417,शैली
group#n#31563,समूह
consist#v#2756729,मिलकर
quality#n#4731092,विशिष्ट गुण
produce#v#1756303,उत्पादन करना
hold#v#2706727,धारण करना
characterize#v#2703792,विशेषता
surface#n#4369112,पृष्ठ
become#v#2632685,बन
position#n#8639173,स्थान
beginning#n#8524579,जड़
provide#v#1185006,प्रदान करना
branch#n#13184148,शाखा
characteristic#a#358006,विशेषता
side#n#8666920,तरफ़
bear#v#2636952,जन्म
town#n#8683242,नगर
state#n#8185877,देश
head#n#1320872,सिर
point#n#8637636,स्थल
language#n#6293304,भाषा
receive#v#523831,प्राप्त करना
occur#v#725311,ध्यान में आना
end#n#8583557,अंतिम भाग
sound#n#4988388,ध्वनि
keep#v#2687605,धरना,रोकना,रक्षा करना,दृढ रखना,पालना,पाबन्दी करना,चौकसी करना,२. नौकर रखना,३. आज्ञा पालन करना,बजा लाना,४. रहना
topographic_point#n#8682181,स्थान
substance#n#19793,पदार्थ
cultivate#v#1745327,खेती
yield#n#4620079,परिणाम
number#n#5128718,संख्या
island#n#9339360,द्वीप
sum#n#13352213,राशि
include#v#686739,शामिल करना
associate#v#715072,मिलाना
give#v#2321848,देना
remove#v#173351,हटाना
time#n#15295388,अवधि
miss#v#2638434,कमी
center#n#8540894,मध्य
line#n#6812755,रेखा
tag#v#1591414,निशान किया हुआ
grow#v#231172,बढ़ना
process#n#5709328,प्रक्रिया
property#n#13265007,जायदाद
cover#v#1335412,ढंकना
determine#v#702806,आकार देना
use#n#948944,इस्तेमाल करना
take#v#2605633,लेना
involve#v#2683377,शामिल
study#v#2170904,विचार करना
structure#n#4939142,संरचना
long#a#1436368,लंबा
family#n#8094856,परिवार
animal#n#15568,प्राणी
